,source,element_id,element_path_value,element_short_value,element_definition_value,element_min_value,element_max_value,element_cardinality,element_base_path_value,element_base_min_value,element_base_max_value,element_constraint_key_value,element_constraint_severity_value,element_constraint_human_value,element_constraint_expression_value,element_constraint_xpath_value,element_mapping_identity_value,element_mapping_map_value,element_comment_value,element_type_code_value,element_condition_value,element_isSummary_value,element_isModifier_value,element_binding_extension_url,element_binding_extension_valueReference_reference_value,element_binding_extension_valueString_value,element_binding_extension_valueBoolean_value,element_binding_strength_value,element_binding_description_value,element_binding_valueSetReference_reference_value,element_alias_value,element_slicing_discriminator_type_value,element_slicing_discriminator_path_value,element_slicing_description_value,element_slicing_rules_value,element_sliceName_value,element_type_profile_value,element_slicing_ordered_value,element_requirements_value,element_representation_value,element_extension_url,element_extension_valueBoolean_value,element_example_label_value,element_example_valueUri_value,element_example_valueString_value,element_meaningWhenMissing_value,element_type_targetProfile_value,element_mustSupport_value,element_fixedUri_value,element_defaultValueBoolean_value,element_example_valueCode_value,element_orderMeaning_value,element_example_valuePeriod_start_value,element_example_valuePeriod_end_value
10,ARS|s_CareConnect-GPC-Organization-1,Organization.modifierExtension,Organization.modifierExtension,Extensions that cannot be ignored,"May be used to represent additional information that is not part of the basic definition of the resource, and that modifies the understanding of the element that contains it. Usually modifier elements provide negation or qualification. In order to make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.",0,*,0..*,DomainResource.modifierExtension,0,*,"['ele-1', 'ext-1']","['error', 'error']","['All FHIR elements must have a @value or children', 'Must have either extensions or value[x], not both']","['hasValue() | (children().count() > id.count())', 'extension.exists() != value.exists()']","['@value|f:*|h:div', ""exists(f:extension)!=exists(f:*[starts-with(local-name(.), 'value')])""]","['rim', 'rim']","['n/a', 'N/A']","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",Extension,ele-1,,true,,,,,,,,"['extensions', 'user content']",value,url,Extensions are always sliced by (at least) url,open,,,,,,,,,,,,,,,,,,,
11,ARS|s_CareConnect-GPC-Organization-1,Organization.identifier,Organization.identifier,Identifies this organization  across multiple systems,Identifier for the organization that is used to identify the organization across multiple disparate systems.,0,*,0..*,Organization.identifier,0,*,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'servd', 'v2', 'rim', 'servd', 'w5']","['n/a', 'CX / EI (occasionally, more often EI maps to a resource id or a URL)', 'II - see see identifier pattern at http://wiki.hl7.org/index.php?title=Common_Design_Patterns#Identifier_Pattern for relevant discussion. The Identifier class is a little looser than the v3 type II because it allows URIs as well as registered OIDs or GUIDs.  Also maps to Role[classCode=IDENT]', 'Identifier', 'XON.10 / XON.3', '.scopes[Role](classCode=IDENT)', './Identifiers', 'id']",,Identifier,"['ele-1', 'org-1']",true,,,,,,,,,,value,system,,openAtEnd,,,false,"Organizations are known by a variety of ids. Some institutions maintain several, and most collect identifiers for exchange with other organizations concerning the organization.",,,,,,,,,,,,,,,
12,ARS|s_CareConnect-GPC-Organization-1,Organization.identifier.id,Organization.identifier.id,xml:id (or equivalent in JSON),unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.,0,1,0..1,Element.id,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,rim,n/a,Note that FHIR strings may not exceed 1MB in size,string,ele-1,,,,,,,,,,,,,,,,,,,xmlAttr,,,,,,,,,,,,,,
13,ARS|s_CareConnect-GPC-Organization-1,Organization.identifier.extension,Organization.identifier.extension,Additional Content defined by implementations,"May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.",0,*,0..*,Element.extension,0,*,"['ele-1', 'ext-1']","['error', 'error']","['All FHIR elements must have a @value or children', 'Must have either extensions or value[x], not both']","['hasValue() | (children().count() > id.count())', 'extension.exists() != value.exists()']","['@value|f:*|h:div', ""exists(f:extension)!=exists(f:*[starts-with(local-name(.), 'value')])""]","['rim', 'rim']","['n/a', 'N/A']","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",Extension,ele-1,,,,,,,,,,"['extensions', 'user content']",value,url,Extensions are always sliced by (at least) url,open,,,,,,,,,,,,,,,,,,,
14,ARS|s_CareConnect-GPC-Organization-1,Organization.identifier.use,Organization.identifier.use,usual | official | temp | secondary (If known),The purpose of this identifier.,0,1,0..1,Identifier.use,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim']","['n/a', 'N/A', 'Role.code or implied by context']","This is labeled as ""Is Modifier"" because applications should not mistake a temporary id for a permanent one. Applications can assume that an identifier is permanent unless it explicitly says that it is temporary.",code,ele-1,true,true,http://hl7.org/fhir/StructureDefinition/elementdefinition-bindingName,,IdentifierUse,,required,"Identifies the purpose for this identifier, if known .",http://hl7.org/fhir/ValueSet/identifier-use,,,,,,,,,Allows the appropriate identifier for a particular context of use to be selected from among a set of identifiers.,,,,,,,,,,,,,,,
15,ARS|s_CareConnect-GPC-Organization-1,Organization.identifier.type,Organization.identifier.type,Description of identifier,A coded type for the identifier that can be used to determine which identifier to use for a specific purpose.,0,1,0..1,Identifier.type,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'orim', 'v2', 'rim']","['n/a', 'CE/CNE/CWE', 'CD', 'fhir:CodeableConcept rdfs:subClassOf dt:CD', 'CX.5', 'Role.code or implied by context']","This element deals only with general categories of identifiers.  It SHOULD not be used for codes that correspond 1..1 with the Identifier.system. Some identifiers may fall into multiple categories due to common usage.   Where the system is known, a type is unnecessary because the type is always part of the system definition. However systems often need to handle identifiers where the system is not known. There is not a 1:1 relationship between type and system, since many different systems have the same type.",CodeableConcept,ele-1,true,,"['http://hl7.org/fhir/StructureDefinition/elementdefinition-bindingName', 'http://hl7.org/fhir/StructureDefinition/elementdefinition-isCommonBinding']",,IdentifierType,true,extensible,A coded type for an identifier that can be used to determine which identifier to use for a specific purpose.,http://hl7.org/fhir/ValueSet/identifier-type,,,,,,,,,Allows users to make use of identifiers when the identifier system is not known.,,,,,,,,,,,,,,,
16,ARS|s_CareConnect-GPC-Organization-1,Organization.identifier.type.id,Organization.identifier.type.id,xml:id (or equivalent in JSON),unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.,0,1,0..1,Element.id,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,rim,n/a,Note that FHIR strings may not exceed 1MB in size,string,ele-1,,,,,,,,,,,,,,,,,,,xmlAttr,,,,,,,,,,,,,,
17,ARS|s_CareConnect-GPC-Organization-1,Organization.identifier.type.extension,Organization.identifier.type.extension,Additional Content defined by implementations,"May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.",0,*,0..*,Element.extension,0,*,"['ele-1', 'ext-1']","['error', 'error']","['All FHIR elements must have a @value or children', 'Must have either extensions or value[x], not both']","['hasValue() | (children().count() > id.count())', 'extension.exists() != value.exists()']","['@value|f:*|h:div', ""exists(f:extension)!=exists(f:*[starts-with(local-name(.), 'value')])""]","['rim', 'rim']","['n/a', 'N/A']","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",Extension,ele-1,,,,,,,,,,"['extensions', 'user content']",value,url,Extensions are always sliced by (at least) url,open,,,,,,,,,,,,,,,,,,,
18,ARS|s_CareConnect-GPC-Organization-1,Organization.identifier.type.coding,Organization.identifier.type.coding,Code defined by a terminology system,A reference to a code defined by a terminology system.,0,*,0..*,CodeableConcept.coding,0,*,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'orim', 'v2', 'rim', 'orim']","['n/a', 'CE/CNE/CWE subset one of the sets of component 1-3 or 4-6', 'CV', 'fhir:Coding rdfs:subClassOf dt:CDCoding', 'C*E.1-8, C*E.10-22', 'union(., ./translation)', 'fhir:CodeableConcept.coding rdfs:subPropertyOf dt:CD.coding']","Codes may be defined very casually in enumerations, or code lists, up to very formal definitions such as SNOMED CT - see the HL7 v3 Core Principles for more information.  Ordering of codings is undefined and SHALL NOT be used to infer meaning. Generally, at most only one of the coding values will be labeled as UserSelected = true.",Coding,ele-1,true,,,,,,,,,,,,,,,,,Allows for translations and alternate encodings within a code system.  Also supports communication of the same instance to systems requiring different encodings.,,,,,,,,,,,,,,,
19,ARS|s_CareConnect-GPC-Organization-1,Organization.identifier.type.coding.id,Organization.identifier.type.coding.id,xml:id (or equivalent in JSON),unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.,0,1,0..1,Element.id,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,rim,n/a,Note that FHIR strings may not exceed 1MB in size,string,ele-1,,,,,,,,,,,,,,,,,,,xmlAttr,,,,,,,,,,,,,,
20,ARS|s_CareConnect-GPC-Organization-1,Organization.identifier.type.coding.extension,Organization.identifier.type.coding.extension,Additional Content defined by implementations,"May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.",0,*,0..*,Element.extension,0,*,"['ele-1', 'ext-1']","['error', 'error']","['All FHIR elements must have a @value or children', 'Must have either extensions or value[x], not both']","['hasValue() | (children().count() > id.count())', 'extension.exists() != value.exists()']","['@value|f:*|h:div', ""exists(f:extension)!=exists(f:*[starts-with(local-name(.), 'value')])""]","['rim', 'rim']","['n/a', 'N/A']","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",Extension,ele-1,,,,,,,,,,"['extensions', 'user content']",value,url,Extensions are always sliced by (at least) url,open,,,,,,,,,,,,,,,,,,,
21,ARS|s_CareConnect-GPC-Organization-1,Organization.identifier.type.coding.system,Organization.identifier.type.coding.system,Identity of the terminology system,The identification of the code system that defines the meaning of the symbol in the code.,0,1,0..1,Coding.system,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'orim']","['n/a', 'C*E.3', './codeSystem', 'fhir:Coding.system rdfs:subPropertyOf dt:CDCoding.codeSystem']","The URI may be an OID (urn:oid:...) or a UUID (urn:uuid:...).  OIDs and UUIDs SHALL be references to the HL7 OID registry. Otherwise, the URI should come from HL7's list of FHIR defined special URIs or it should de-reference to some definition that establish the system clearly and unambiguously.",uri,ele-1,true,,,,,,,,,,,,,,,,,Need to be unambiguous about the source of the definition of the symbol.,,,,,,,,,,,,,,,
22,ARS|s_CareConnect-GPC-Organization-1,Organization.identifier.type.coding.version,Organization.identifier.type.coding.version,Version of the system - if relevant,"The version of the code system which was used when choosing this code. Note that a well-maintained code system does not need the version reported, because the meaning of codes is consistent across versions. However this cannot consistently be assured. and when the meaning is not guaranteed to be consistent, the version SHOULD be exchanged.",0,1,0..1,Coding.version,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'orim']","['n/a', 'C*E.7', './codeSystemVersion', 'fhir:Coding.version rdfs:subPropertyOf dt:CDCoding.codeSystemVersion']","Where the terminology does not clearly define what string should be used to identify code system versions, the recommendation is to use the date (expressed in FHIR date format) on which that version was officially published as the version date.",string,ele-1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,ARS|s_CareConnect-GPC-Organization-1,Organization.identifier.type.coding.code,Organization.identifier.type.coding.code,Symbol in syntax defined by the system,A symbol in syntax defined by the system. The symbol may be a predefined code or an expression in a syntax defined by the coding system (e.g. post-coordination).,0,1,0..1,Coding.code,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'orim']","['n/a', 'C*E.1', './code', 'fhir:Coding.code rdfs:subPropertyOf dt:CDCoding.code']",Note that FHIR strings may not exceed 1MB in size,code,ele-1,true,,,,,,,,,,,,,,,,,Need to refer to a particular code in the system.,,,,,,,,,,,,,,,
24,ARS|s_CareConnect-GPC-Organization-1,Organization.identifier.type.coding.display,Organization.identifier.type.coding.display,Representation defined by the system,"A representation of the meaning of the code in the system, following the rules of the system.",0,1,0..1,Coding.display,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'orim']","['n/a', 'C*E.2 - but note this is not well followed', 'CV.displayName', 'fhir:Coding.display rdfs:subPropertyOf dt:CDCoding.displayName']",Note that FHIR strings may not exceed 1MB in size,string,ele-1,true,,,,,,,,,,,,,,,,,Need to be able to carry a human-readable meaning of the code for readers that do not know  the system.,,http://hl7.org/fhir/StructureDefinition/elementdefinition-translatable,true,,,,,,,,,,,,
25,ARS|s_CareConnect-GPC-Organization-1,Organization.identifier.type.coding.userSelected,Organization.identifier.type.coding.userSelected,If this coding was chosen directly by the user,Indicates that this coding was chosen by a user directly - i.e. off a pick list of available items (codes or displays).,0,1,0..1,Coding.userSelected,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'orim']","['n/a', 'Sometimes implied by being first', 'CD.codingRationale', 'fhir:Coding.userSelected fhir:mapsTo dt:CDCoding.codingRationale. fhir:Coding.userSelected fhir:hasMap fhir:Coding.userSelected.map. fhir:Coding.userSelected.map a fhir:Map;   fhir:target dt:CDCoding.codingRationale. fhir:Coding.userSelected\\#true a [     fhir:source ""true"";     fhir:target dt:CDCoding.codingRationale\\#O   ]']","Amongst a set of alternatives, a directly chosen code is the most appropriate starting point for new translations. There is some ambiguity about what exactly 'directly chosen' implies, and trading partner agreement may be needed to clarify the use of this element and its consequences more completely.",boolean,ele-1,true,,,,,,,,,,,,,,,,,"This has been identified as a clinical safety criterium - that this exact system/code pair was chosen explicitly, rather than inferred by the system based on some rules or language processing.",,,,,,,,,,,,,,,
26,ARS|s_CareConnect-GPC-Organization-1,Organization.identifier.type.text,Organization.identifier.type.text,Plain text representation of the concept,A human language representation of the concept as seen/selected/uttered by the user who entered the data and/or which represents the intended meaning of the user.,0,1,0..1,CodeableConcept.text,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'orim']","['n/a', 'C*E.9. But note many systems use C*E.2 for this', './originalText[mediaType/code=""text/plain""]/data', 'fhir:CodeableConcept.text rdfs:subPropertyOf dt:CD.originalText']",Very often the text is the same as a displayName of one of the codings.,string,ele-1,true,,,,,,,,,,,,,,,,,"The codes from the terminologies do not always capture the correct meaning with all the nuances of the human using them, or sometimes there is no appropriate code at all. In these cases, the text is used to capture the full meaning of the source.",,http://hl7.org/fhir/StructureDefinition/elementdefinition-translatable,true,,,,,,,,,,,,
27,ARS|s_CareConnect-GPC-Organization-1,Organization.identifier.system,Organization.identifier.system,The namespace for the identifier value,"Establishes the namespace for the value - that is, a URL that describes a set values that are unique.",0,1,0..1,Identifier.system,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'servd']","['n/a', 'CX.4 / EI-2-4', 'II.root or Role.id.root', './IdentifierType']",see http://en.wikipedia.org/wiki/Uniform_resource_identifier,uri,ele-1,true,,,,,,,,,,,,,,,,,"There are many sets  of identifiers.  To perform matching of two identifiers, we need to know what set we're dealing with. The system identifies a particular set of unique identifiers.",,,,General,http://www.acme.com/identifiers/patient or urn:ietf:rfc:3986 if the Identifier.value itself is a full uri,,,,,,,,,,
28,ARS|s_CareConnect-GPC-Organization-1,Organization.identifier.value,Organization.identifier.value,The value that is unique,The portion of the identifier typically relevant to the user and which is unique within the context of the system.,0,1,0..1,Identifier.value,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'servd']","['n/a', 'CX.1 / EI.1', 'II.extension or II.root if system indicates OID or GUID (Or Role.id.extension or root)', './Value']","If the value is a full URI, then the system SHALL be urn:ietf:rfc:3986.  The value's primary purpose is computational mapping.  As a result, it may be normalized for comparison purposes (e.g. removing non-significant whitespace, dashes, etc.)  A value formatted for human display can be conveyed using the [Rendered Value extension](extension-rendered-value.html).",string,ele-1,true,,,,,,,,,,,,,,,,,,,,,General,,123456,,,,,,,,,
