,source,element_id,element_path_value,element_short_value,element_definition_value,element_comment_value,element_min_value,element_max_value,element_cardinality,element_base_path_value,element_base_min_value,element_base_max_value,element_constraint_key_value,element_constraint_severity_value,element_constraint_human_value,element_constraint_expression_value,element_constraint_xpath_value,element_mapping_identity_value,element_mapping_map_value,element_type_code_value,element_condition_value,element_isSummary_value,element_representation_value,element_slicing_discriminator_type_value,element_slicing_discriminator_path_value,element_slicing_description_value,element_slicing_rules_value,element_alias_value,element_binding_extension_url,element_binding_extension_valueString_value,element_binding_extension_valueBoolean_value,element_binding_strength_value,element_binding_description_value,element_binding_valueSetReference_reference_value,element_isModifier_value,element_binding_extension_valueReference_reference_value,element_sliceName_value,element_type_profile_value,element_mustSupport_value,element_fixedUri_value,element_requirements_value,element_example_label_value,element_example_valueUri_value,element_example_valueString_value,element_type_targetProfile_value,element_binding_valueSetUri_value,element_slicing_ordered_value,element_extension_url,element_extension_valueBoolean_value
19,ARS|s_CareConnect-GPC-MedicationStatement-1,MedicationStatement.extension:dosageLastChanged.id,MedicationStatement.extension.id,xml:id (or equivalent in JSON),unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.,Note that FHIR strings may not exceed 1MB in size,0,1,0..1,Element.id,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,rim,n/a,string,ele-1,,xmlAttr,,,,,,,,,,,,,,,,,,,,,,,,,,
20,ARS|s_CareConnect-GPC-MedicationStatement-1,MedicationStatement.extension:dosageLastChanged.extension,MedicationStatement.extension.extension,Additional Content defined by implementations,"May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",0,*,0..*,Element.extension,0,*,"['ele-1', 'ext-1']","['error', 'error']","['All FHIR elements must have a @value or children', 'Must have either extensions or value[x], not both']","['hasValue() | (children().count() > id.count())', 'extension.exists() != value.exists()']","['@value|f:*|h:div', ""exists(f:extension)!=exists(f:*[starts-with(local-name(.), 'value')])""]","['rim', 'rim']","['n/a', 'N/A']",Extension,ele-1,,,value,url,Extensions are always sliced by (at least) url,open,"['extensions', 'user content']",,,,,,,,,,,,,,,,,,,,,
21,ARS|s_CareConnect-GPC-MedicationStatement-1,MedicationStatement.extension:dosageLastChanged.url,MedicationStatement.extension.url,identifies the meaning of the extension,Source of the definition for the extension code - a logical name or a URL.,"The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition SHALL be a URI for the Structure Definition defining the extension.",1,1,1..1,Extension.url,1,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'rim']","['n/a', 'N/A']",uri,ele-1,,xmlAttr,,,,,,,,,,,,,,,,,https://fhir.hl7.org.uk/STU3/StructureDefinition/Extension-CareConnect-MedicationDosageLastChanged-1,,,,,,,,,
22,ARS|s_CareConnect-GPC-MedicationStatement-1,MedicationStatement.extension:dosageLastChanged.value[x],MedicationStatement.extension.value[x],Value of extension,Value of extension - may be a resource or one of a constrained set of the data types (see Extensibility in the spec for list).,"A stream of bytes, base64 encoded",0,1,0..1,Extension.value[x],0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'rim']","['n/a', 'N/A']","['base64Binary', 'boolean', 'code', 'date', 'dateTime', 'decimal', 'id', 'instant', 'integer', 'markdown', 'oid', 'positiveInt', 'string', 'time', 'unsignedInt', 'uri', 'Address', 'Age', 'Annotation', 'Attachment', 'CodeableConcept', 'Coding', 'ContactPoint', 'Count', 'Distance', 'Duration', 'HumanName', 'Identifier', 'Money', 'Period', 'Quantity', 'Range', 'Ratio', 'Reference', 'SampledData', 'Signature', 'Timing', 'Meta']",ele-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,ARS|s_CareConnect-GPC-MedicationStatement-1,MedicationStatement.modifierExtension,MedicationStatement.modifierExtension,Extensions that cannot be ignored,"May be used to represent additional information that is not part of the basic definition of the resource, and that modifies the understanding of the element that contains it. Usually modifier elements provide negation or qualification. In order to make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",0,*,0..*,DomainResource.modifierExtension,0,*,"['ele-1', 'ext-1']","['error', 'error']","['All FHIR elements must have a @value or children', 'Must have either extensions or value[x], not both']","['hasValue() | (children().count() > id.count())', 'extension.exists() != value.exists()']","['@value|f:*|h:div', ""exists(f:extension)!=exists(f:*[starts-with(local-name(.), 'value')])""]","['rim', 'rim']","['n/a', 'N/A']",Extension,ele-1,,,value,url,Extensions are always sliced by (at least) url,open,"['extensions', 'user content']",,,,,,,true,,,,,,,,,,,,,,
24,ARS|s_CareConnect-GPC-MedicationStatement-1,MedicationStatement.identifier,MedicationStatement.identifier,External identifier,External identifier - FHIR will generate its own internal identifiers (probably URLs) which do not need to be explicitly managed by the resource.  The identifier here is one that would be used by another non-FHIR system - for example an automated medication pump would provide a record each time it operated; an administration while the patient was off the ward might be made with a different system and entered after the event.  Particularly important if these records have to be updated.,,1,*,1..*,MedicationStatement.identifier,0,*,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'servd', 'workflow', 'rim', 'w5']","['n/a', 'CX / EI (occasionally, more often EI maps to a resource id or a URL)', 'II - see see identifier pattern at http://wiki.hl7.org/index.php?title=Common_Design_Patterns#Identifier_Pattern for relevant discussion. The Identifier class is a little looser than the v3 type II because it allows URIs as well as registered OIDs or GUIDs.  Also maps to Role[classCode=IDENT]', 'Identifier', '…identifer', '.id', 'id']",Identifier,ele-1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,ARS|s_CareConnect-GPC-MedicationStatement-1,MedicationStatement.identifier.id,MedicationStatement.identifier.id,xml:id (or equivalent in JSON),unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.,Note that FHIR strings may not exceed 1MB in size,0,1,0..1,Element.id,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,rim,n/a,string,ele-1,,xmlAttr,,,,,,,,,,,,,,,,,,,,,,,,,,
26,ARS|s_CareConnect-GPC-MedicationStatement-1,MedicationStatement.identifier.extension,MedicationStatement.identifier.extension,Additional Content defined by implementations,"May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.",0,*,0..*,Element.extension,0,*,"['ele-1', 'ext-1']","['error', 'error']","['All FHIR elements must have a @value or children', 'Must have either extensions or value[x], not both']","['hasValue() | (children().count() > id.count())', 'extension.exists() != value.exists()']","['@value|f:*|h:div', ""exists(f:extension)!=exists(f:*[starts-with(local-name(.), 'value')])""]","['rim', 'rim']","['n/a', 'N/A']",Extension,ele-1,,,value,url,Extensions are always sliced by (at least) url,open,"['extensions', 'user content']",,,,,,,,,,,,,,,,,,,,,
27,ARS|s_CareConnect-GPC-MedicationStatement-1,MedicationStatement.identifier.use,MedicationStatement.identifier.use,usual | official | temp | secondary (If known),The purpose of this identifier.,"This is labeled as ""Is Modifier"" because applications should not mistake a temporary id for a permanent one. Applications can assume that an identifier is permanent unless it explicitly says that it is temporary.",0,1,0..1,Identifier.use,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim']","['n/a', 'N/A', 'Role.code or implied by context']",code,ele-1,true,,,,,,,http://hl7.org/fhir/StructureDefinition/elementdefinition-bindingName,IdentifierUse,,required,"Identifies the purpose for this identifier, if known .",http://hl7.org/fhir/ValueSet/identifier-use,true,,,,,,Allows the appropriate identifier for a particular context of use to be selected from among a set of identifiers.,,,,,,,,
28,ARS|s_CareConnect-GPC-MedicationStatement-1,MedicationStatement.identifier.type,MedicationStatement.identifier.type,Description of identifier,A coded type for the identifier that can be used to determine which identifier to use for a specific purpose.,"This element deals only with general categories of identifiers.  It SHOULD not be used for codes that correspond 1..1 with the Identifier.system. Some identifiers may fall into multiple categories due to common usage.   Where the system is known, a type is unnecessary because the type is always part of the system definition. However systems often need to handle identifiers where the system is not known. There is not a 1:1 relationship between type and system, since many different systems have the same type.",0,1,0..1,Identifier.type,0,1,ele-1,error,All FHIR elements must have a @value or children,hasValue() | (children().count() > id.count()),@value|f:*|h:div,"['rim', 'v2', 'rim', 'orim', 'v2', 'rim']","['n/a', 'CE/CNE/CWE', 'CD', 'fhir:CodeableConcept rdfs:subClassOf dt:CD', 'CX.5', 'Role.code or implied by context']",CodeableConcept,ele-1,true,,,,,,,"['http://hl7.org/fhir/StructureDefinition/elementdefinition-bindingName', 'http://hl7.org/fhir/StructureDefinition/elementdefinition-isCommonBinding']",IdentifierType,true,extensible,A coded type for an identifier that can be used to determine which identifier to use for a specific purpose.,http://hl7.org/fhir/ValueSet/identifier-type,,,,,,,Allows users to make use of identifiers when the identifier system is not known.,,,,,,,,
